REGION,PROVINCIA,DISTRITO,CENTRO,DIRECCION
CALLAO,CALLAO,CALLAO,IE 5003 VIRGEN DE LA INMACULADA CONCEPCION,JR ALBERTO SECADA 439
CALLAO,CALLAO,CALLAO,IE 5005 GENERALISIMO DON JOSE DE SAN MARTIN,JR AREQUIPA NORTE 143
CALLAO,CALLAO,CALLAO,IE 5007 NUESTRA SEÃORA DE GUADALUPE,JR RAIGADA 295
CALLAO,CALLAO,CALLAO,IE 5010 VIRGEN DE GUADALUPE,JR ZARUMILLA SN
CALLAO,CALLAO,CALLAO,IE 5019 AUGUSTO CAZORLA,AV REPUBLICA DE PANAMA 753
CALLAO,CALLAO,CALLAO,IE 5024,JR SUPE 603
CALLAO,CALLAO,CALLAO,IE 5031 CESAR VALLEJO,JR TUMBES SN
CALLAO,CALLAO,CALLAO,IE 5033 LAS 200 MILLAS,CALLE 7 SN PARQUE 200 MILLAS
CALLAO,CALLAO,CALLAO,IE 5036 RAFAEL BELAUNDE DIEZ CANSECO,JR CESAR VALLEJO SN
CALLAO,CALLAO,CALLAO,IE 5039 DIVINA PASTORA PARQUE 2 SN,
CALLAO,CALLAO,CALLAO,IE 5040 PEDRO RUIZ,AV VILLA JOSEFINA SN
CALLAO,CALLAO,CALLAO,IE 5042 JUAN FRANCISCO DE LA BODEGA Y QUADRA,JR HUANCAVELICA 100
CALLAO,CALLAO,CALLAO,IE 5046 JOSE GALVEZ EGUSQUIZA,JR TALARA SN
CALLAO,CALLAO,CALLAO,IE 5076 NUESTRA SEÃORA DE LAS MERCEDES,JR VICTOR ESPINOZA SN
CALLAO,CALLAO,CALLAO,IE 5079 JORGE CHAVEZ DARNELL,CALLE VICTOR ANDRES BELAUNDE 100
CALLAO,CALLAO,CALLAO,IE 5080 SOR ANA DE LOS ANGELES,CALLE ALAMEDA DE LOS MISIONEROS SN
CALLAO,CALLAO,CALLAO,IE 5083 SAN MARTIN DE PORRES PSJE,MZ X SN
CALLAO,CALLAO,CALLAO,IE 5084 CARLOS PHILIPS PSJE K URB PREVI,
CALLAO,CALLAO,CALLAO,IE 5085 RAMIRO PRIALE PRIALE,CALLE LOS FAISANES CUADRA 1
CALLAO,CALLAO,CALLAO,IE 5092 SANTA ROSA DE LIMA,MZ G10 LOTE 1 QUINTO SECTOR BOCANEGRA
CALLAO,CALLAO,CALLAO,IE 5097 SAN JUAN MASIAS,AV CANADA SN MZ P
CALLAO,CALLAO,CALLAO,IE 5099 RICARDO PALMA,CALLE JOSE OLAYA SN
CALLAO,CALLAO,CALLAO,IE 5126 LOS JAZMINES,CALLE SEXTA SN CUARTA ETAPA URB LOS JAZMINES
CALLAO,CALLAO,CALLAO,IE 5095 JULIO RAMON RIBEYRO,CALLE LAS GAMMA SN
CALLAO,CALLAO,CALLAO,IE 5023 ABELARDO GAMARRA,CALLE ROMULO ASERETTO SN MZ K URB FUNDO CHALACA
CALLAO,CALLAO,CALLAO,IE 5074 ALCIDES SPELUCIN VEGA,CALLE 7
CALLAO,CALLAO,CALLAO,IE DOS DE MAYO,AV AGUSTIN GAMARRA 230
CALLAO,CALLAO,CALLAO,IE 5049 EMMA DETTMANN DE GUTIERREZ,CALLE RUY DIAZ 316
CALLAO,CALLAO,CALLAO,IE 5032 ENRIQUE DELHORME PARQUE ALFONSO UGARTE 191,
CALLAO,CALLAO,CALLAO,IE HEROINAS TOLEDO,AV MIGUEL GRAU 1176
CALLAO,CALLAO,CALLAO,IE JORGE BASADRE GROHMAN,JR CALIFORNIA 280
CALLAO,CALLAO,CALLAO,IE 5026 JOSE MARIA ARGUEDAS,CALLE LAS MORAS SN
CALLAO,CALLAO,CALLAO,IE POLITECNICO NACIONAL DEL CALLAO,AV ELMER FAUCETT CUADRA 7 URB MANUEL DULANTO
CALLAO,CALLAO,CALLAO,IE REPUBLICA DE VENEZUELA,AV ARGENTINA 1030
CALLAO,CALLAO,CALLAO,IE ALBORADA,JR ANTONIO MIROQUESADA 1359
CALLAO,CALLAO,CALLAO,PARQUE EL BARRIO,JR CAJAMARCA SN
CALLAO,CALLAO,CALLAO,IEP CRISTO REY,JR COLON 456
CALLAO,CALLAO,CALLAO,IEP GRUMETE MEDINA,JR ALBERTO SECADA 399
CALLAO,CALLAO,CALLAO,IEP JOSE GALVEZ EGUSQUIZA,JR AREQUIPA NORTE 577
CALLAO,CALLAO,CALLAO,IEP SAN JOSE HERMANOS MARISTAS,JR CHACHAPOYAS SN
CALLAO,CALLAO,CALLAO,IEP SANTO DOMINGO SAVIO,AV REPUBLICA DE PANAMA 487
CALLAO,CALLAO,CALLAO,IE 5045 MARIA REICHE,AV CONTRALMIRANTE MORA 420
