REGION,PROVINCIA,DISTRITO,CENTRO,DIRECCION
CALLAO,CALLAO,VENTANILLA,IEP MIRAMAR,CALLE LOS TECNICOS MZ E LT 5 AAHH 6 DE DICIEMBRE
CALLAO,CALLAO,VENTANILLA,IEP TRENTO,MZ V LT 32 33 III SECTOR
CALLAO,CALLAO,VENTANILLA,LOSA DEPORTIVA 7 DE JUNIO 1A MODULOS AZULES,MZ M1 ZONA RESIDENCIAL CONFRATERNIDAD 7 DE JUNIO PACHACUTEC
CALLAO,CALLAO,VENTANILLA,LOSA DEPORTIVA AAHH CHAVIN DE HUANTAR AAHH CHAVIN DE HUANTAR,MZ Q CALLE 5 PACHACUTEC
CALLAO,CALLAO,VENTANILLA,IE 74 LOS PROCERES,CALLE BAQUÃJANO Y CARRILLO MZ D1 LOTE 19 URB STA ROSA
CALLAO,CALLAO,VENTANILLA,IEI 142,MZ D8 LT 1 SECTOR B4
CALLAO,CALLAO,VENTANILLA,IEP GUIA DIVINA,MZ H2 LOTES 22 PRIMER SECTOR ANGAMOS
CALLAO,CALLAO,VENTANILLA,LOSA DEPORTIVA DE CEMENTO VILLA MOTO,CALLE C AAHH PRIMERO DE MAYO
CALLAO,CALLAO,VENTANILLA,LOSA DEPORTIVA LAS TERRAZAS,AV NESTOR GAMBETTA SN
CALLAO,CALLAO,VENTANILLA,IE ELIAS AGUIRRE,MZ G4 LT 8 AAHH NUEVO PACHACUTEC
CALLAO,CALLAO,VENTANILLA,ESTADIO FACUNDO RAMIREZ AGUILAR,CALLE A SN URB CIUDAD SATELITE
CALLAO,CALLAO,VENTANILLA,COMPLEJO DEPORTIVO ANTONIA MORENO DE CACERES,AV JOSE GONZALES GANOZA SN
CALLAO,CALLAO,VENTANILLA,IEP CONSORCIO EDUCATIVO AVHALDIM SAC,CALLE 22 SN
CALLAO,CALLAO,VENTANILLA,IE 4020 JOSE SANTOS CHOCANO,AV LOS GERANIOS SN
CALLAO,CALLAO,VENTANILLA,IE 5052 VIRGEN DE LA MERCED,AV LOS GERANIOS CALLE 4
CALLAO,CALLAO,VENTANILLA,IE 5053 VICTOR ANDRES BELAUNDE,AV LOS GERANIOS SN
CALLAO,CALLAO,VENTANILLA,IE 5086 POLITECNICO DE VENTANILLA PRL NEPTUNO SN,
CALLAO,CALLAO,VENTANILLA,IE 5088 HEROES DEL PACIFICO,AV B SN SEGUNDO SECTOR ANGAMOS
CALLAO,CALLAO,VENTANILLA,IE 5090 ANTONIA MORENO DE CACERES SEXTO SECTOR DERECHO S/N,
CALLAO,CALLAO,VENTANILLA,IE 5093 ANTONIO RAYMONDI,AV GONZALEZ GANOZA SN
CALLAO,CALLAO,VENTANILLA,IE 5116 DIVINO CREADOR,CALLE NEISER LLACSA SN
CALLAO,CALLAO,VENTANILLA,IE 5127 MARTIR JOSE OLAYA,JR CAPULI SN
CALLAO,CALLAO,VENTANILLA,IE 5137 POLITECNICO VENTANILLA DE ALTA LAS LOMAS,CALLE 39 VENTANILLA ALTA
CALLAO,CALLAO,VENTANILLA,IE NUESTRA SEÃORA DE BELEN,CALLE LOS FICUS SN
CALLAO,CALLAO,VENTANILLA,IEP SOPHIANO COLLEGE,AV NESTOR GAMBETA SN
CALLAO,CALLAO,VENTANILLA,IE 5077 JOSE FAUSTINO SANCHEZ CARRION,CALLE 3 SN
CALLAO,CALLAO,VENTANILLA,IE 5122 JOSE ANDRES RAZURI ESTEVEZ,CALLE LOS ECOLOGOS SN
CALLAO,CALLAO,VENTANILLA,IE 5124 LIBERTADOR SIMON BOLIVAR DE HIROSHIMA,AV CABO BLANCO SN
CALLAO,CALLAO,VENTANILLA,IE 5094 NACIONES UNIDAS,AV PERU SN
CALLAO,CALLAO,VENTANILLA,IE 5121 PEDRO PLANAS SILVA,JR EL TUCAN SN MZ F2
CALLAO,CALLAO,VENTANILLA,IE VILLA LOS REYES,CALLE 25 SN
CALLAO,CALLAO,VENTANILLA,IE 70 MARIA MONTESSORI,CALLE LAS DALIAS SN
CALLAO,CALLAO,VENTANILLA,IE 5051 VIRGEN DE FATIMA,AV PRINCIPAL SN SECTOR A
CALLAO,CALLAO,VENTANILLA,IEP HEROES DEL PACIFICO,AV LA PLAYA SN
CALLAO,CALLAO,VENTANILLA,IE COMUNAL ALMIRANTE MIGUEL GRAU,AV VENUS SN
CALLAO,CALLAO,VENTANILLA,IE 5130 PACHACUTEC,MZ L M N LOTE 1 SECTOR A
CALLAO,CALLAO,VENTANILLA,IE 5129 VENCEDORES DE PACHACUTEC,CALLE 15 MZ P SECTOR D
CALLAO,CALLAO,VENTANILLA,102 SEÃOR DE LOS MILAGROS,AV DEL BIERZO SN
CALLAO,CALLAO,VENTANILLA,106,AV CARLOS VILLANUEVA MZ G LOTE 1
CALLAO,CALLAO,VENTANILLA,107 LOS PASTORCITOS DE FATIMA,CALLE 5 ELIAS AGUIRRE SN
CALLAO,CALLAO,VENTANILLA,108,JR VÃCTOR LAVALLE TERCER SECTOR SN URB ANTONIA MORENO DE CÃCERES
CALLAO,CALLAO,VENTANILLA,114 CORAZON DE JESUS,JR LOS ALISOS SN MZ D
CALLAO,CALLAO,MI,PERU IEP GENIUS KIDS,MZ C LOTE 45 AV TACNA
CALLAO,CALLAO,MI,PERU 141,MZ E LT 1 AAHH VIRGEN DE GUADALUPE
CALLAO,CALLAO,MI,PERU IEI PARROQUIAL LAUDATO SI,MZ G 7 LT 1
CALLAO,CALLAO,MI,PERU IEP DIOS ES AMOR,AV TUMBES MZ H4 LT 10 11
CALLAO,CALLAO,MI,PERU IE MANUEL SEOANE CORRALES,AV HUAURA SN
CALLAO,CALLAO,MI,PERU 5119 VILLA EMILIA,CALLE LOS FICUS SN MZ L LOTE 1 VILLA EMILIA
CALLAO,CALLAO,MI,PERU 5130-4 CHAVINILLO,MZ T LOTE 01 AAHH CHAVINILLO
CALLAO,CALLAO,MI,PERU 161,AV AREQUIPA MZ C17 LOTE 4 MI PERÃ
CALLAO,CALLAO,MI,PERU IEP ELIM,AV TRUJILLO MZ 63 LOTE 2
CALLAO,CALLAO,MI,PERU IEP SAN JUAN,AV TRUJILLO SN MZ I 13 LTE 2345
CALLAO,CALLAO,MI,PERU IE 33 FE Y ALEGRIA,AV PUNO SN
CALLAO,CALLAO,MI,PERU IE 5098 KUMAMOTO,AV CUZCO SN
CALLAO,CALLAO,MI,PERU IE 5135 LA SALLE,AV VILLA MZA A1 LTE 1
